Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Monumen Pahlawan Pancasila,0.0,0.0,0.0,1,57,57,-56
Gua Jlamprong ,0.0,0.0,0.0,1,57,57,-56
Pantai Baru,0.0,0.0,0.0,1,57,57,-56
Pantai Nglolang ,0.0,0.0,0.0,1,57,57,-56
Pantai Baron,0.0,0.0,0.0,1,57,57,-56
Bukit Teletubies ,0.0,0.0,0.0,1,57,57,-56
Taman Sari Kraton Yogyakarta,0.0,0.0,0.0,1,57,57,-56
Museum Bahari,0.0,0.0,0.0,1,57,57,-56
Hutan pendidikan Wanagama ,0.0,0.0,0.0,1,57,57,-56
Pantai Depok,0.0,0.0,0.0,1,57,57,-56
Laguna Pantai Depok,0.0,0.0,0.0,1,57,57,-56
Air Terjun Jurug Gede,0.0,0.0,0.0,1,57,57,-56
Telaga Jonge,0.0,0.0,0.0,1,57,57,-56
Gua Payaman,0.0,0.0,0.0,1,57,57,-56
Museum Sandi,0.0,0.0,0.0,1,57,57,-56
History Of Java Museum (HOJ),0.0,0.0,0.0,1,57,57,-56
Museum Taman Tino Sidin,0.0,0.0,0.0,1,57,57,-56
Pantai Congot,0.0,0.0,0.0,1,57,57,-56
Pantai Gua Cemara,0.0,0.0,0.0,1,57,57,-56
Wisata Klayar (Desa Wisata),0.0,0.0,0.0,1,57,57,-56
Situs Mangir Ki Ageng,0.0,0.0,0.0,1,57,57,-56
Museum Rumah Garuda,0.0,0.0,0.0,1,57,57,-56
Candi Sambisari,0.0,0.0,0.0,1,57,57,-56
Pantai Pandansari,0.0,0.0,0.0,1,57,57,-56
Pantai Samas,0.0,0.0,0.0,1,57,57,-56
Candi Kedulan,0.0,0.0,0.0,1,57,57,-56
Gua Maria Sendangsono ,0.0,0.0,0.0,1,57,57,-56
Museum Ullen Sentalu,0.0,0.0,0.0,1,57,57,-56
Lava Bantal,0.0,0.0,0.0,1,57,57,-56
Wisata Wayang Wukirsari,0.0,0.0,0.0,1,57,57,-56
Watu Jagal,0.0,0.0,0.0,1,57,57,-56
Museum Gumuk Pasir Parangtritis Geomaritim Science Park,0.0,0.0,0.0,1,57,57,-56
Pantai Parangkusumo,0.0,0.0,0.0,1,57,57,-56
Museum Serat Holistik Kehidupan Susilawati Susmoni,0.0,0.0,0.0,1,57,57,-56
Affandi Museum,0.0,0.0,0.0,1,57,57,-56
Pantai Siung,0.0,0.0,0.0,1,57,57,-56
Pantai Nampu,0.0,0.0,0.0,1,57,57,-56
Pantai Jungwok,0.0,0.0,0.0,1,57,57,-56
Pantai Nguyahan,0.0,0.0,0.0,1,57,57,-56
Museum Benteng Vredeburg,0.0,0.0,0.0,1,57,57,-56
Pantai Grigak,0.0,0.0,0.0,1,57,57,-56
Gua Maria Tritis,0.0,0.0,0.0,1,57,57,-56
Pantai Watu Kodok,0.0,0.0,0.0,1,57,57,-56
Watu Amben,0.0,0.0,0.0,1,57,57,-56
Bukit Kosakora,0.0,0.0,0.0,1,57,57,-56
Pantai Sadranan,0.0,0.0,0.0,1,57,57,-56
Diorama Arsip Jogja ,0.0,0.0,0.0,1,57,57,-56
Museum Sonobudoyo,0.0,0.0,0.0,1,57,57,-56
Nawang Jagad,0.0,0.0,0.0,1,57,57,-56
Pantai Greweng,0.0,0.0,0.0,1,57,57,-56
Pantai Parangtritis,0.0,0.0,0.0,1,57,57,-56
Selopamioro Adventure Park,0.0,0.0,0.0,1,57,57,-56
Candi Banyunibo,0.0,0.0,0.0,1,57,57,-56
Pantai Porok,0.0,0.0,0.0,1,57,57,-56
Hutan Pinus Asri,0.0,0.0,0.0,1,57,57,-56
Gua Song Gilap Anjani Kenteng ,0.0,0.0,0.0,1,57,57,-56
Gunung Kendil ,0.0,0.0,0.0,1,57,57,-56
Tlogo Muncar ,0.0,0.0,0.0,1,57,57,-56
