dest1,dest2,similarity,jenis1,jenis2
Museum Serat Holistik Kehidupan Susilawati Susmoni,Watu Giring,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Pantai Baru,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Arus Progo Rafting ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Pantai Bugel Kulon Progo,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gunung Gamping,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Jlamprong ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Laguna Pantai Trisik dan Pantai Trisik,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Payaman,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Telaga Jonge,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Air Terjun Jurug Gede,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Laguna Pantai Depok,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Depok,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Hutan pendidikan Wanagama ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Bukit Teletubies ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Air Terjun Luweng Sampang,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Pantai Timang,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Kidang Kencono,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Permoni,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Rencang Kencono,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Kawasan Konservasi Mangrove Baros,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Sriti ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Wisata Alam Kali Gowang ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Batu Alien ,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Pindul,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Bukit Klangon,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Alam Kedung Banteng ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kawasan Hutan Wanasadi,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Blue Lagoon,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Hutan Mangrove Kadilangu,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kebun Teh Tritis ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wunung Giriselokondo ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Kiskendo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Alam Kalibiru,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Sanglen,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Ayunan Langit,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Pantai Gua Cemara,0.47689724169351244,Budaya,Alam
Pantai Parangkusumo,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Pantai Parangkusumo,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Gesing,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Mojo Gumelem,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Plunyon Kalikuning,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Ngandong,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Mlarangan Asri,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Air Terjun Kembang Soka,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pintu Langit Dahromo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Sadeng,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Watu Lawang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Ngingrong dan Lembah Karst Ngingrong ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Glamping Menoreh,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kawasan Gua Cerme,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kalisuci Cave Tubing,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Bidara,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kampung Jelok,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gardu Pandang Kaliurang,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Mangrove Jembatan api- Api,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Cerme,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Mahaloka Paradise ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Gua Tanding,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Potrobayan,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Pandansimo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Buron,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Glagah,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Ngedan ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Bukit Watugede,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Banyutibo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Ngobaran,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Mintorogo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gua Kebon,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Bukit Turgo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Turgo Plawangan,0.47689724169351244,Budaya,Alam
Bukit lintang sewu,Museum Wayang Beber Sekartaji ,0.47689724169351244,Alam,Budaya
Bukit lintang sewu,Sendra Tari Ramayana Ballet (Outdoor),0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Ngedan ,0.47689724169351244,Budaya,Alam
Pantai Parangkusumo,Kraton,0.47689724169351244,Alam,Budaya
Pantai Parangkusumo,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Midodaren,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Air Terjun Kedung Pedut,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Drini,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gunung Api Purba Nglanggeran,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Torohudan ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Sarangan,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Pulang Sawal,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Parangtritis,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Mangrove Wanatirta,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Sepanjang ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Wisata Alam Watu Gendong Beji ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Taman Nasional Gunung Merapi,0.47689724169351244,Budaya,Alam
Gua Kiskendo,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Pantai Gesing,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Pantai Gesing,Affandi Museum,0.47689724169351244,Alam,Budaya
Pantai Gesing,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Pantai Gesing,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Kraton,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Affandi Museum,0.47689724169351244,Alam,Budaya
Pantai Gesing,Kraton,0.47689724169351244,Alam,Budaya
Pantai Gesing,Museum Serat Holistik Kehidupan Susilawati Susmoni,0.47689724169351244,Alam,Budaya
