title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Goa Rancang Kencono,4.655737704918033,0.7276731386558881,61,0.3442622950819672,0.11475409836065574,0.5409836065573771,0.873244922315879,0.6377049180327868
Pantai Bugel Kulon Progo,4.411764705882353,0.9628389395581236,51,0.39215686274509803,0.0784313725490196,0.5294117647058824,0.9001208856621421,0.6372549019607844
Kawasan Konservasi Mangrove Baros,4.509803921568627,0.7582228965049223,51,0.37254901960784315,0.0784313725490196,0.5490196078431373,0.881500898300637,0.6372549019607843
Telaga Jonge,4.224489795918367,1.2790834303393612,49,0.42857142857142855,0.08163265306122448,0.4897959183673469,0.9069011119007981,0.636734693877551
Plunyon Kalikuning,4.63265306122449,1.0143527811495616,49,0.3469387755102041,0.08163265306122448,0.5714285714285714,0.8911445157281068,0.636734693877551
Pantai Wohkudu,4.576271186440678,0.9322458945731904,59,0.3559322033898305,0.13559322033898305,0.5084745762711864,0.8863485648565935,0.635593220338983
Tahura Bunder,4.147058823529412,0.988796419932486,34,0.4411764705882353,0.11764705882352941,0.4411764705882353,0.8952239712983646,0.6352941176470588
Petilasan Gunung Gambar,4.816326530612245,0.6348710298082564,49,0.30612244897959184,0.12244897959183673,0.5714285714285714,0.8879405056345198,0.6346938775510205
Air Terjun Banyunibo,4.46875,0.9832262562440759,32,0.375,0.1875,0.4375,0.8719579066552453,0.634375
Goa Kiskendo,4.410256410256411,1.0187182017755843,39,0.38461538461538464,0.10256410256410256,0.5128205128205128,0.8890535820048012,0.6333333333333334
Makam Nyi Ageng Serang,4.666666666666667,0.816496580927726,6,0.3333333333333333,0.0,0.6666666666666666,0.9517341996777705,0.6333333333333333
Pantai Grigak,4.60655737704918,0.6652991438591155,61,0.3442622950819672,0.03278688524590164,0.6229508196721312,0.9153576450864727,0.6327868852459015
Pantai Sadeng,4.478260869565218,1.0052999648481398,46,0.3695652173913043,0.10869565217391304,0.5217391304347826,0.8903180683613311,0.6326086956521739
Pantai Wediombo,4.4576271186440675,1.1036309024792084,59,0.3728813559322034,0.1016949152542373,0.5254237288135594,0.8770032064097733,0.6322033898305084
The Manglung View,4.267857142857143,1.213425975246367,56,0.4107142857142857,0.05357142857142857,0.5357142857142857,0.913302013088427,0.6321428571428571
Museum Bahari,4.613636363636363,0.7840238810704654,44,0.3409090909090909,0.18181818181818182,0.4772727272727273,0.8658014654102463,0.6318181818181817
Galaxy Waterpark,4.487804878048781,1.075219773337344,41,0.36585365853658536,0.0975609756097561,0.5365853658536586,0.9015754128324012,0.6317073170731708
Obelix Village,4.277777777777778,1.2195988617770184,54,0.4074074074074074,0.07407407407407407,0.5185185185185185,0.9136599173078452,0.6314814814814814
Pantai Parangkusumo,4.450980392156863,1.0642128638612873,51,0.37254901960784315,0.1568627450980392,0.47058823529411764,0.8482929953733511,0.6313725490196078
Candi Prambanan,4.75,0.762000762001143,32,0.3125,0.15625,0.53125,0.854084254437024,0.63125
Wisata Alam Kalibiru,4.285714285714286,1.2154636631246145,42,0.40476190476190477,0.09523809523809523,0.5,0.8924828568786738,0.6309523809523809
Air Terjun Sidoharjo,4.673913043478261,0.7617041661399628,46,0.32608695652173914,0.021739130434782608,0.6521739130434783,0.9257853572713294,0.6304347826086956
Museum Pendidikan Indonesia,4.444444444444445,1.1547005383792515,27,0.37037037037037035,0.1111111111111111,0.5185185185185185,0.9015717844240932,0.6296296296296297
Pantai Greweng,4.655172413793103,0.7386978618863568,58,0.3275862068965517,0.08620689655172414,0.5862068965517241,0.9065332851098751,0.6293103448275862
Museum Mini Sisa Hartaku,4.871794871794871,0.4090738692453054,39,0.28205128205128205,0.05128205128205128,0.6666666666666666,0.8932797662590517,0.6282051282051282
Pantai Pulang Sawal Indrayanti,4.534883720930233,1.0316154047415687,43,0.3488372093023256,0.13953488372093023,0.5116279069767442,0.8528394205904443,0.627906976744186
Kalisuci Cave Tubing,4.757575757575758,0.7512615652314042,33,0.30303030303030304,0.15151515151515152,0.5454545454545454,0.8680575753454635,0.6272727272727273
Pantai Bopeso,4.583333333333333,0.6685579234215215,12,0.3333333333333333,0.0,0.6666666666666666,0.9145666224690121,0.625
Pasar Seni Gabusan ,4.25,1.2513150976809202,20,0.4,0.15,0.45,0.884665085258748,0.625
Wana Delima Orchard,4.574074074074074,0.923525890206226,54,0.3333333333333333,0.09259259259259259,0.5740740740740741,0.8893655490873058,0.6240740740740741
Museum Purbakala Taman Wisata Prambanan,4.809523809523809,0.4023739080814782,21,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.803918534747442,0.6238095238095238
Pantai Krakal,4.4576271186440675,1.263847899762728,59,0.3559322033898305,0.03389830508474576,0.6101694915254238,0.9002322537054541,0.623728813559322
Wisata Klayar,3.980392156862745,1.240809350036199,51,0.45098039215686275,0.11764705882352941,0.43137254901960786,0.8877228396459419,0.6235294117647059
Goa Sriti,4.3076923076923075,1.1039128053344505,39,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.8313795041992534,0.6230769230769231
